Name,Rating,Hospital Ownership,Mortality,Safety,Patient Experience,Effectiveness of Care,Timeliness,Medical Imaging Efficiency
"PROVIDENCE MEDICAL CENTER",4,6,2,3,1,2,2,2
"ROCKFORD MEMORIAL HOSPITAL",3,5,3,2,2,2,3,2
"SAINT JOSEPH LONDON",3,5,2,1,3,1,1,2
"ADVOCATE LUTHERAN GENERAL HOSPITAL",3,6,2,1,3,2,2,3
"MACNEAL  HOSPITAL",2,9,2,2,1,2,1,2
"MURRAY-CALLOWAY COUNTY HOSPITAL",3,7,3,3,3,1,2,2
"FRANCISCAN HEALTH HAMMOND",3,6,1,2,1,2,2,2
"DEKALB MEDICAL CENTER AT HILLANDALE",2,1,2,1,1,2,1,2
"PIEDMONT HENRY HOSPITAL",2,1,3,3,1,2,1,2
"HAYS MEDICAL CENTER",3,7,2,1,3,2,3,1
"HARDIN MEMORIAL HOSPITAL",4,2,2,3,2,1,1,2
"LITTLE COMPANY OF MARY HOSPITAL",2,7,2,1,2,1,1,1
"COMMUNITY HOSPITAL NORTH",3,5,2,2,3,2,2,2
"ESKENAZI HEALTH",2,2,2,1,1,1,1,2
"IOWA LUTHERAN HOSPITAL",4,5,2,3,3,2,2,2
"ST ALEXIUS MEDICAL CENTER",4,6,1,3,1,2,2,2
"BAPTIST HEALTH LA GRANGE",3,5,2,2,2,2,2,2
"INDIANA UNIVERSITY HEALTH",2,5,2,1,1,2,2,3
"ST CLAIRE REGIONAL MEDICAL CENTER",2,4,2,1,2,2,3,3
"HENRY COUNTY MEMORIAL HOSPITAL",4,2,2,2,3,2,3,2
"LOWELL GENERAL HOSPITAL",2,5,2,2,2,2,1,3
"HEARTLAND REGIONAL MEDICAL CENTER",2,9,2,1,1,2,3,2
"COMMUNITY HOWARD REGIONAL HEALTH INC",3,5,2,2,2,2,2,2
"LOUIS A WEISS MEMORIAL HOSPITAL",2,9,2,1,1,2,2,2
"ANDERSON HOSPITAL",3,5,2,2,2,2,2,3
"GENESIS MEDICAL CENTER-DAVENPORT",4,7,1,3,1,2,3,3
"PASSAVANT AREA HOSPITAL",3,5,3,3,2,2,2,2
"MARLBOROUGH HOSPITAL",3,5,2,3,1,2,1,2
"CGH MEDICAL CENTER",4,2,2,3,2,2,3,3
"PIEDMONT MOUNTAINSIDE HOSPITAL INC",3,7,2,2,2,2,1,2
"ELKHART GENERAL HOSPITAL",4,2,2,2,3,3,2,3
"ADVOCATE BROMENN MEDICAL CENTER",3,6,3,2,3,2,2,1
"STURDY MEMORIAL HOSPITAL",3,7,2,3,2,3,2,2
"ST LUKE'S REGIONAL MEDICAL CENTER",5,5,2,3,3,2,2,2
"SILVER CROSS HOSPITAL  AND MEDICAL CENTERS",4,5,1,3,3,2,2,2
"FRANCISCAN HEALTH MUNSTER",3,5,2,2,2,2,2,2
"NOBLE HOSPITAL",4,5,2,2,3,2,2,2
"ST FRANCIS HEALTH CENTER INC",3,6,3,1,3,2,3,2
"SALINA REGIONAL HEALTH CENTER",3,5,2,1,2,2,3,2
"DOCTORS HOSPITAL",2,9,2,1,1,2,3,2
"JACKSON PURCHASE MEDICAL CENTER",3,1,2,3,2,2,3,1
"COVENANT MEDICAL CENTER",4,5,2,2,2,2,3,3
"GEORGETOWN COMMUNITY HOSPITAL",3,9,2,1,2,2,3,2
"THE QUEENS MEDICAL CENTER",4,5,2,1,3,2,1,3
"WESLEY MEDICAL CENTER",4,9,2,3,2,3,3,2
"MENORAH MEDICAL CENTER",3,7,2,2,2,2,3,2
"HENDRICKS REGIONAL HEALTH",4,2,2,1,3,2,3,1
"ST ELIZABETH MEDICAL CENTER NORTH",4,6,1,3,3,2,2,3
"YORK HOSPITAL",4,5,2,3,3,2,3,2
"MC DONOUGH DISTRICT HOSPITAL",3,1,2,2,3,2,3,1
"SAINT JOSEPH MOUNT STERLING",3,5,2,2,2,2,1,2
"LAKE CUMBERLAND REGIONAL HOSPITAL",2,9,3,2,2,2,2,2
"REDMOND REGIONAL MEDICAL CENTER",4,9,2,3,2,2,3,2
"RIVERVIEW HEALTH",4,2,2,2,3,2,3,2
"SHERMAN HOSPITAL",4,5,1,3,3,2,3,2
"DELNOR COMMUNITY HOSPITAL",4,5,2,2,3,2,2,1
"ST JOSEPH REGIONAL MEDICAL CENTER",3,5,2,2,2,2,3,2
"INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL",3,5,2,3,2,2,3,2
"SWEDISH COVENANT HOSPITAL",3,6,1,2,2,2,2,2
"UNIVERSITY OF IOWA HOSPITAL & CLINICS",4,3,2,3,2,2,1,3
"NORTH SHORE MEDICAL CENTER -",4,5,1,1,2,2,1,2
"DUPONT HOSPITAL LLC",4,9,2,2,2,2,3,2
"ADVOCATE GOOD SHEPHERD HOSPITAL",5,6,2,3,2,2,2,3
"PRESENCE COVENANT MEDICAL CENTER",3,6,3,3,2,2,2,2
"ST JOSEPH HOSPITAL",2,9,2,2,1,2,1,2
"ADVOCATE SOUTH SUBURBAN HOSPITAL",4,6,2,3,1,2,1,3
"MERCY MEDICAL CTR",3,5,2,3,2,2,1,2
"OUR LADY OF BELLEFONTE HOSPITAL",3,5,2,1,3,2,2,2
"MERCY MEDICAL CENTER-CLINTON",2,5,2,2,2,2,3,2
"MERCY HOSPITAL AND MEDICAL CENTER",2,5,1,1,1,2,1,2
"PRESENCE SAINT JOSEPH HOSPITAL - ELGIN",3,6,2,1,2,2,2,2
"VIA CHRISTI HOSPITALS WICHITA, INC",3,6,2,3,1,1,2,1
"SAINT LUKE'S SOUTH HOSPITAL",4,7,2,3,3,2,3,2
"PROCTOR HOSPITAL",3,5,2,2,2,2,3,2
"GATEWAY REGIONAL MEDICAL CENTER",2,9,2,2,1,2,2,2
"MERCY MEDICAL CENTER-DES MOINES",3,5,2,1,2,2,2,3
"GREAT BEND REGIONAL HOSPITAL",3,9,2,2,2,2,3,1
"ANNA JAQUES HOSPITAL",3,5,2,2,3,2,2,3
"MAINEGENERAL MEDICAL CENTER",4,7,2,2,3,3,2,3
"HILO MEDICAL CENTER",4,3,2,3,2,2,1,1
"GOOD SAMARITAN REGIONAL HLTH CENTER",2,5,2,3,2,2,2,2
"ST VINCENT ANDERSON REGIONAL HOSPITAL INC",4,5,2,3,1,2,2,3
"WELLSTAR DOUGLAS HOSPITAL",3,5,2,2,2,2,2,2
"COFFEYVILLE REGIONAL MEDICAL CENTER",3,2,2,2,1,2,3,2
"MERCY MEDICAL CENTER - CEDAR RAPIDS",4,6,2,3,3,2,3,2
"FORT MADISON COMMUNITY HOSPITAL",4,5,2,2,3,2,3,1
"ELMHURST MEMORIAL HOSPITAL",4,9,1,2,3,2,2,2
"FRANCISCAN HEALTH LAFAYETTE",4,6,2,3,3,2,2,2
"EASTERN IDAHO REGIONAL MEDICAL CENTER",4,9,3,3,2,2,3,2
"WILCOX MEMORIAL HOSPITAL",4,4,2,2,3,2,1,2
"PORTER REGIONAL HOSPITAL",4,9,1,3,1,2,1,2
"VIA CHRISTI HOSPITAL WICHITA ST TERESA, INC",3,6,2,1,3,2,3,1
"MEMORIAL HOSPITAL OF SOUTH BEND",4,5,3,3,3,2,2,2
"INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL",4,5,2,3,2,2,2,3
"ST LUKES REGIONAL MEDICAL CENTER",3,5,2,3,1,2,2,2
"EMORY JOHNS CREEK HOSPITAL",3,9,1,2,2,2,2,2
"STRAUB CLINIC AND HOSPITAL",5,9,2,3,3,2,3,2
"T J SAMSON COMMUNITY HOSPITAL",3,7,2,3,2,2,2,1
"MORTON HOSPITAL",2,9,2,3,1,2,2,2
"LUTHERAN HOSPITAL OF INDIANA",2,9,3,1,1,2,1,2
"KOSCIUSKO COMMUNITY HOSPITAL",3,9,2,2,2,2,3,2
"KANSAS MEDICAL CENTER LLC",4,9,2,3,2,2,3,2
"ADVOCATE TRINITY HOSPITAL",3,7,1,1,1,2,1,2
"ST MARY MEDICAL CENTER INC",4,5,1,2,3,2,1,2
"MEADOWVIEW REGIONAL MEDICAL CENTER",3,9,2,2,2,2,3,1
"TRINITY REGIONAL MEDICAL CENTER",3,5,2,2,2,2,3,3
"NORTHWESTERN MEMORIAL HOSPITAL",3,5,1,1,2,3,1,2
"ST JOSEPH HOSPITAL",4,6,2,2,3,2,1,2
"SAINT ANTHONY MEDICAL CENTER",3,6,3,3,1,2,2,2
"KOOTENAI HEALTH",3,1,3,3,1,3,2,2
"DEARBORN COUNTY HOSPITAL",3,2,2,2,2,2,3,1
"SKIFF MEDICAL CENTER",3,2,3,2,2,2,3,2
"CARY MEDICAL CENTER",3,2,2,2,3,2,2,2
"EDWARD HOSPITAL",3,5,1,1,2,2,3,2
"SPRING VIEW HOSPITAL",3,9,2,2,2,2,3,2
"BAPTIST HEALTH LEXINGTON",4,7,2,3,3,2,1,2
"SAINT JOSEPH REGIONAL MEDICAL CENTER",4,5,3,3,1,2,2,3
"MAINE MEDICAL CENTER",2,5,2,1,2,2,1,3
"KENTUCKIANA MEDICAL CENTER LLC",1,9,2,1,2,1,3,2
"WHITESBURG ARH HOSPITAL",3,7,2,2,3,2,3,2
"BERKSHIRE MEDICAL CENTER INC - 1",4,7,2,3,2,2,2,2
"MAJOR HOSPITAL",4,2,2,3,3,2,3,2
"COOLEY DICKINSON HOSPITAL INC,THE",3,5,2,1,2,2,1,2
"HANCOCK REGIONAL HOSPITAL",3,2,3,3,3,2,2,2
"ADVENTIST LA GRANGE MEMORIAL HOSPITAL",5,6,1,2,3,2,3,2
"INDIANA UNIVERSITY HEALTH NORTH HOSPITAL",4,9,2,1,3,2,2,3
"SAINT JAMES HOSPITAL",4,6,2,2,3,2,3,2
"WITHAM HEALTH SERVICES",4,2,2,2,3,2,3,2
"TAYLOR REGIONAL HOSPITAL",3,1,2,1,2,2,2,1
"LA PORTE HOSPITAL",3,5,3,3,1,2,3,2
"OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER",3,5,2,2,2,2,3,2
"ADVOCATE GOOD SAMARITAN HOSPITAL",4,6,2,1,3,2,2,3
"VIA CHRISTI HOSPITAL MANHATTAN, INC",3,6,2,1,2,3,3,2
"ILLINOIS VALLEY COMMUNITY HOSPITAL",4,5,2,3,3,2,3,2
"MERCY HOSPITAL",5,6,1,2,3,3,3,2
"SHAWNEE MISSION MEDICAL CENTER",5,6,2,3,3,2,3,2
"NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR",3,5,1,2,1,1,2,2
"CROSSROADS COMMUNITY HOSPITAL",3,9,2,2,2,2,2,2
"ADVOCATE CONDELL MEDICAL CENTER",5,5,1,3,2,3,1,3
"ST MARGARETS HOSPITAL",4,5,2,2,3,2,3,2
"COPLEY MEMORIAL HOSPITAL",3,5,3,1,3,2,2,3
"METHODIST HOSPITAL",4,6,2,3,2,2,3,2
"UNIVERSITY OF ILLINOIS HOSPITAL",1,3,2,1,1,2,1,2
"GREENVIEW REGIONAL HOSPITAL",4,9,2,3,3,2,3,2
"BLUFFTON REGIONAL MEDICAL CENTER",3,9,2,2,3,2,3,2
"LAWRENCE MEMORIAL HOSPITAL",3,2,3,3,3,2,3,3
"UNIVERSITY OF LOUISVILLE HOSPITAL",1,5,3,1,1,2,1,2
"MARION GENERAL HOSPITAL",4,5,1,2,2,2,3,2
"ST LUKES HOSPITAL",4,5,2,3,3,2,2,2
"FRANKLIN MEMORIAL HOSPITAL",3,5,2,2,2,2,2,2
"HERRIN HOSPITAL",3,5,2,3,2,2,2,1
"BAYSTATE FRANKLIN MEDICAL CENTER",3,5,2,2,1,2,1,2
"ST ELIZABETH HOSPITAL",3,6,2,1,2,2,2,1
"DECATUR MEMORIAL HOSPITAL",3,7,2,2,1,2,1,2
"UNION HOSPITAL INC",4,5,2,3,3,2,2,1
"CLARK MEMORIAL HOSPITAL",3,7,1,1,2,2,2,2
"BAPTIST HEALTH MADISONVILLE",3,5,3,3,2,2,2,2
"ST VINCENT KOKOMO",4,6,2,3,3,2,3,2
"PRESENCE UNITED SAMARITANS MEDICAL CENTER",2,6,2,3,2,2,3,2
"STORMONT VAIL HOSPITAL",4,5,2,3,3,2,2,3
"MEMORIAL MEDICAL CENTER",2,5,3,2,1,1,1,3
"KING'S DAUGHTERS' MEDICAL CENTER",3,5,2,3,3,2,2,1
"HEALTHALLIANCE HOSPITALS, INC",3,7,2,3,2,2,2,2
"PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER",4,6,1,3,2,2,1,2
"PIEDMONT NEWNAN HOSPITAL, INC",3,5,2,2,2,2,2,2
"ST ELIZABETH FLORENCE",3,5,2,3,2,2,2,3
"THE CARLE FOUNDATION HOSPITAL",3,5,2,2,3,3,2,2
"NEWTON MEDICAL CENTER",4,5,2,2,3,2,3,2
"ADVENTIST BOLINGBROOK HOSPITAL",2,5,2,1,1,2,3,2
"THE MEDICAL CENTER AT BOWLING GREEN",3,5,2,3,1,1,1,3
"ST CATHERINE HOSPITAL",3,5,2,2,2,2,3,2
"FRANCISCAN HEALTH CRAWFORDSVILLE",3,6,2,2,2,2,3,2
"FINLEY HOSPITAL",3,5,2,2,3,2,3,2
"PRESENCE SAINT FRANCIS HOSPITAL",2,6,2,3,1,2,1,2
"OWENSBORO HEALTH REGIONAL HOSPITAL",3,5,2,2,2,2,3,1
"COLUMBUS REGIONAL HOSPITAL",4,2,2,3,2,2,3,2
"BAPTIST HEALTH FLOYD",2,2,2,1,2,2,2,1
"SAINT FRANCIS MEDICAL CENTER",3,6,3,1,3,2,1,2
"SCHNECK MEDICAL CENTER",5,2,2,3,3,2,3,2
"FRANCISCAN HEALTH MICHIGAN CITY",3,6,2,3,2,2,2,2
"MEMORIAL HOSPITAL",3,2,2,2,2,2,3,2
"PINEVILLE COMMUNITY HOSPITAL",4,7,1,2,2,2,3,2
"TRINITY ROCK ISLAND",2,7,3,2,1,2,3,3
"SAINT ALPHONSUS REGIONAL MEDICAL CENTER",3,6,2,1,1,3,2,3
"BAPTIST HEALTH LOUISVILLE",4,5,2,3,3,2,1,3
"THE UNIVERSITY OF CHICAGO MEDICAL CENTER",3,5,2,1,3,2,1,3
"HALLMARK HEALTH SYSTEM",3,5,1,1,2,2,1,3
"HUTCHINSON REGIONAL MEDICAL CENTER INC",2,9,3,2,1,2,2,2
"BAPTIST HEALTH RICHMOND",3,5,2,3,2,2,2,2
"FRANCISCAN ST JAMES HEALTH",1,9,1,1,1,2,2,2
"COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY",4,5,1,2,3,2,3,2
"INLAND HOSPITAL",4,5,2,2,3,2,2,2
"GOOD SAMARITAN HOSPITAL",3,7,3,2,3,2,3,1
"PAUL B HALL REGIONAL MEDICAL CENTER",3,9,2,2,1,2,2,2
"MADISON MEMORIAL HOSPITAL",3,2,2,2,3,2,3,2
"VISTA MEDICAL CENTER EAST",3,7,2,1,1,2,1,2
"HOLYOKE MEDICAL CENTER",2,5,2,1,2,2,1,2
"NORTHWESTERN LAKE FOREST HOSPITAL",3,7,1,2,2,2,2,1
"KATHERINE SHAW BETHEA HOSPITAL",3,5,2,2,2,3,3,2
"PALOS COMMUNITY HOSPITAL",4,5,1,1,3,2,2,3
"PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO",2,6,1,1,1,2,2,2
"FHN MEMORIAL HOSPITAL",3,5,2,1,2,2,3,2
"LOURDES HOSPITAL",2,6,3,1,1,2,3,2
"RUSH UNIVERSITY MEDICAL CENTER",4,5,1,3,3,2,1,2
"PARKVIEW REGIONAL MEDICAL CENTER",4,5,3,2,3,2,2,2
"BEVERLY HOSPITAL CORPORATION",4,5,1,3,1,2,1,3
"MEMORIAL HOSPITAL",4,5,1,3,2,3,1,3
"JEWISH HOSPITAL & ST MARY'S HEALTHCARE",2,5,2,1,1,2,1,2
"SOUTHERN REGIONAL MEDICAL CENTER",2,5,2,2,1,2,1,2
"LOYOLA UNIVERSITY MEDICAL CENTER",2,5,2,2,2,2,1,2
"GREAT RIVER MEDICAL CENTER",2,5,2,2,1,2,3,1
"CHI HEALTH MERCY COUNCIL BLUFFS",3,5,2,1,2,2,3,2
"TWIN LAKES REGIONAL MEDICAL CENTER",4,7,2,2,2,2,3,2
"DEKALB HEALTH",3,5,2,2,3,2,3,2
"ST JOHNS HOSPITAL",3,6,2,1,3,2,1,2
"OLATHE MEDICAL CENTER",3,5,2,2,3,2,3,3
"ST ANTHONY REGIONAL HOSPITAL & NURSING HOME",4,6,2,2,3,2,3,2
"EASTSIDE MEDICAL CENTER",3,9,2,3,1,2,1,2
"ST ANTHONYS MEMORIAL HOSPITAL",4,6,2,3,3,2,3,2
"CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL",4,5,2,3,2,2,2,2
"FRANCISCAN HEALTH CROWN POINT",3,6,2,2,2,2,2,2
"ST VINCENT EVANSVILLE",3,5,2,2,2,2,3,3
"WESTLAKE COMMUNITY HOSPITAL",3,7,2,2,1,2,2,2
"SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA",4,6,1,3,3,2,2,2
"MOUNT AUBURN HOSPITAL",3,5,1,2,3,2,1,2
"FRANCISCAN HEALTH INDIANAPOLIS",4,6,1,3,3,3,1,2
"ST MARYS HOSPITAL",2,5,2,1,2,3,2,2
"SAINT ANNE'S HOSPITAL",4,9,1,3,3,2,2,2
"WELLSTAR NORTH FULTON HOSPITAL",2,9,2,1,1,2,2,2
"COMMUNITY HOSPITAL EAST",4,5,3,3,3,2,2,2
"UNIVERSITY OF KENTUCKY HOSPITAL",3,3,2,3,3,2,1,3
"BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH",3,5,1,2,2,2,1,2
"FLAGET MEMORIAL HOSPITAL",4,5,2,2,2,2,2,2
"METHODIST MEDICAL CENTER OF ILLINOIS",4,5,2,3,3,2,2,2
"THREE RIVERS MEDICAL CENTER",3,9,2,2,3,2,2,2
"MORRIS HOSPITAL & HEALTHCARE CENTERS",4,5,2,2,3,2,3,2
"CARNEY HOSPITAL",3,9,2,2,1,1,1,2
"EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER",2,5,2,2,2,2,2,1
"PENOBSCOT BAY MEDICAL CENTER",3,5,2,2,2,2,2,2
"PIEDMONT FAYETTE HOSPITAL",2,5,2,1,1,2,1,2
"ST VINCENT HOSPITAL & HEALTH SERVICES",3,6,2,2,2,2,2,2
"ADVOCATE ILLINOIS MASONIC MEDICAL CENTER",2,6,2,1,2,2,1,2
"METHODIST HOSPITALS INC",3,5,1,3,2,2,1,1
"ADVENTIST GLENOAKS",3,7,2,2,1,2,3,2
"ST MARY MEDICAL CENTER",3,6,3,3,3,2,2,2
"WEST VALLEY MEDICAL CENTER",4,9,2,3,2,2,2,2
"OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL",3,5,2,2,2,2,2,2
"FRANKFORT REGIONAL MEDICAL CENTER",3,9,2,3,1,2,3,2
"BAPTIST HEALTH PADUCAH",3,6,3,3,3,2,2,2
"ST JOSEPH MEDICAL CENTER",4,6,3,3,3,2,2,2
"CAMBRIDGE HEALTH ALLIANCE",3,2,1,2,1,3,2,2
"THOREK MEMORIAL HOSPITAL",2,5,2,2,1,2,1,2
"BOSTON MEDICAL CENTER CORPORATION-",3,5,1,1,1,2,1,2
"SAINT JOSEPH REGIONAL MEDICAL CENTER - PLYMOUTH",3,6,2,2,2,2,3,2
"PEKIN MEMORIAL HOSPITAL",3,5,2,3,2,2,2,2
"IOWA METHODIST MEDICAL CENTER",3,5,3,2,3,2,2,2
"HAZARD ARH REGIONAL MEDICAL CENTER",2,5,2,3,1,2,2,2
"PRATT REGIONAL MEDICAL CENTER",3,5,2,1,3,2,3,1
"RIVERSIDE MEDICAL CENTER",5,5,1,3,3,2,2,3
"NORTHWEST COMMUNITY HOSPITAL 1",3,5,3,2,1,2,3,3
"SOUTHERN MAINE HEALTH CARE",3,5,2,2,1,2,1,3
"GALESBURG COTTAGE HOSPITAL",3,9,2,2,2,2,2,2
"MARY GREELEY MEDICAL CENTER",3,2,2,1,3,2,3,2
"OVERLAND PARK REG MED CTR",4,9,2,2,2,2,3,2
"CAPE COD HOSPITAL",4,5,2,3,3,2,1,3
"JOHN H STROGER JR HOSPITAL",2,2,2,2,1,1,1,2
"ALLEN HOSPITAL",2,5,3,1,2,2,3,2
"COMMUNITY HOSPITAL",4,5,1,3,3,2,2,2
"SOUTHWEST MEDICAL CENTER",3,2,2,2,2,2,2,2
"RUSH OAK PARK HOSPITAL",4,6,1,3,3,2,3,2
"PRESENCE ST MARYS HOSPITAL",3,7,2,1,3,2,2,1
"SOUTHCOAST HOSPITAL GROUP, INC",3,5,1,3,2,2,2,3
"HIGHLANDS REGIONAL MEDICAL CENTER",2,9,2,2,1,1,1,1
"GENESIS HEALTH SYSTEM",3,2,2,1,2,2,2,2
"CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL",5,7,1,3,3,2,1,2
"HARRINGTON MEMORIAL HOSPITAL-1",3,5,2,2,3,2,2,2
"FRANCISCAN HEALTH DYER",2,6,2,3,2,2,2,2
"RANSOM MEMORIAL HOSPITAL",4,2,2,2,3,2,3,2
"DEACONESS HOSPITAL INC",3,5,3,3,3,3,3,3
"TUG VALLEY ARH REGIONAL MEDICAL CENTER",3,9,2,2,2,2,3,2
"ST CATHERINE HOSPITAL INC",5,5,1,3,2,2,2,2
"LAKES REGIONAL HEALTHCARE",4,7,2,2,3,2,3,1
"METHODIST JENNIE EDMUNDSON",4,5,2,2,3,1,3,2
"MID COAST HOSPITAL",3,5,2,3,2,2,2,2
"CENTRAL MAINE MEDICAL CENTER",3,5,2,1,2,2,1,2
"MASSACHUSETTS GENERAL HOSPITAL",4,5,1,3,3,2,1,3
"SAINT JOSEPH EAST",2,6,2,2,1,1,1,2
"GEARY COMMUNITY HOSPITAL",3,2,2,2,3,2,2,2
"MERCY MEDICAL CENTER-NORTH IOWA",3,5,3,1,2,2,3,2
"COLISEUM NORTHSIDE HOSPITAL",4,9,2,3,2,2,3,2
"COMMUNITY FIRST MEDICAL CENTER",3,5,1,2,1,2,2,2
"PRESENCE MERCY MEDICAL CENTER",3,6,2,2,2,2,2,2
"GRAHAM HOSPITAL ASSOCIATION",3,7,2,2,2,2,3,2
"VIA CHRISTI HOSPITAL PITTSBURG INC",3,5,2,1,2,2,3,1
"HOLY CROSS HOSPITAL",1,5,1,1,1,1,1,2
"EVANSTON HOSPITAL",3,7,1,1,2,2,2,3
"HARLAN ARH HOSPITAL",2,7,2,3,1,2,3,1
"MEMORIAL HOSPITAL OF CARBONDALE",3,5,2,2,3,2,2,2
"ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER",3,6,1,1,2,2,1,2
"TERRE HAUTE REGIONAL HOSPITAL",3,9,2,3,3,2,3,2
"JEWISH HOSPITAL - SHELBYVILLE",3,5,2,1,2,2,2,2
"UNIVERSITY OF KANSAS HOSPITAL",3,1,1,3,3,2,1,2
"ST VINCENT CARMEL HOSPITAL INC",5,6,2,3,3,2,2,2
"ST MARYS REGIONAL MEDICAL CENTER",4,5,2,2,2,2,1,2
"ST JOHN RIVER DISTRICT HOSPITAL",3,1,2,2,2,2,3,2
"FRANCISCAN HEALTH MOORESVILLE",5,6,2,3,3,2,2,2
"PALI MOMI MEDICAL CENTER",4,9,2,2,3,2,2,2
"CLARK REGIONAL MEDICAL CENTER",4,9,2,2,2,2,3,2
"PORTNEUF MEDICAL CENTER",3,9,2,2,2,2,3,2
"ST LUKE'S MAGIC VALLEY RMC",3,5,2,2,3,2,2,2
"WEST SUBURBAN MEDICAL CENTER",3,7,2,2,1,2,2,2
"SARAH BUSH LINCOLN HEALTH CENTER",3,5,2,3,3,2,2,2
"MAYO CLINIC HEALTH SYSTEM - MANKATO",3,5,2,2,2,2,2,2
"GOOD SAMARITAN HOSPITAL MEDICAL CENTER",1,6,2,1,1,2,1,3
"NORTH SHORE UNIVERSITY HOSPITAL",2,5,1,1,2,2,1,2
"HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS",3,5,2,2,2,2,1,2
"FREEMAN HEALTH SYSTEM - FREEMAN WEST",3,7,3,3,1,2,1,2
"UNIVERSITY OF MISSISSIPPI MED CENTER",1,3,3,1,1,2,1,2
"GARDEN PARK MEDICAL CENTER",3,9,2,2,2,2,2,2
"METHODIST HOSPITAL",3,5,2,1,3,2,2,3
"HACKENSACK-UMC AT PASCACK VALLEY",3,9,2,1,2,2,2,2
"UNIVERSITY HOSPITAL",1,3,2,1,1,2,1,1
"NORTHFIELD HOSPITAL",3,2,2,2,3,2,2,2
"LIBERTY HOSPITAL",3,1,2,3,3,2,3,1
"REGIONAL WEST MEDICAL CENTER",3,5,2,3,2,2,2,2
"UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE )",1,3,1,1,1,1,1,2
"BRONSON SOUTH HAVEN HOSPITAL",4,1,2,2,3,2,2,2
"PECONIC BAY MEDICAL CENTER",1,5,2,1,1,2,1,2
"CAYUGA MEDICAL CENTER AT ITHACA",3,5,3,2,3,2,1,3
"SARATOGA HOSPITAL",3,5,2,2,3,2,1,3
"NICHOLAS H NOYES MEMORIAL HOSPITAL",3,5,2,2,2,2,2,2
"HENRY FORD HOSPITAL",1,5,1,1,1,3,1,3
"UNIVERSITY OF MISSISSIPPI MEDICAL CENTER- GRENADA",2,3,2,1,1,1,2,2
"ELLIOT HOSPITAL",3,5,2,2,2,2,1,2
"COLUMBUS COMMUNITY HOSPITAL",4,7,2,3,3,2,3,2
"CLAXTON-HEPBURN MEDICAL CENTER",3,5,2,2,1,2,2,2
"CHI HEALTH ST ELIZABETH",3,5,2,1,2,2,2,2
"SOUTHAMPTON HOSPITAL",2,5,2,2,1,1,1,2
"MERIT HEALTH WESLEY",3,5,2,2,1,2,3,2
"SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS",3,5,2,2,2,2,2,2
"CAREPOINT HEALTH - BAYONNE MEDICAL CENTER",2,5,2,2,1,2,1,2
"MEMORIAL HEALTHCARE",2,7,3,1,2,2,2,2
"BOTHWELL REGIONAL HEALTH CENTER",2,2,2,1,1,2,3,1
"OUR LADY OF LOURDES MEDICAL CENTER",4,5,1,3,1,2,1,2
"ST LUKE'S WARREN HOSPITAL",4,7,2,2,1,2,1,3
"ST MARY'S OF MICHIGAN MEDICAL CENTER",2,6,2,1,1,2,2,1
"HANNIBAL REGIONAL HOSPITAL",3,5,2,2,2,2,3,2
"HEALTHEAST WOODWINDS HOSPITAL",4,5,2,2,3,2,2,2
"ST ANTHONY'S MEDICAL CENTER",1,5,3,1,1,2,2,2
"HENRY FORD WEST BLOOMFIELD HOSPITAL",2,5,2,1,3,2,1,2
"MERIT HEALTH CENTRAL",2,9,2,3,2,2,2,2
"ALICE HYDE MEDICAL CENTER",3,7,2,2,1,2,3,2
"ST JOHN'S RIVERSIDE HOSPITAL",3,5,1,3,2,2,1,2
"MAGNOLIA REGIONAL HEALTH CENTER",2,7,3,1,3,2,3,3
"NASSAU UNIVERSITY MEDICAL CENTER",1,2,3,2,1,2,1,2
"MIDMICHIGAN MEDICAL CENTER-GRATIOT",3,5,2,2,2,2,2,2
"LOVELACE MEDICAL CENTER",3,5,2,2,1,2,1,2
"FAIRVIEW SOUTHDALE HOSPITAL",4,7,2,3,2,2,2,3
"SPECTRUM HEALTH UNITED HOSPITAL",5,7,2,2,3,3,2,2
"SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL",4,5,2,2,3,2,3,2
"NORTHERN NEVADA MEDICAL CENTER",3,9,2,2,1,2,2,2
"ST MARY'S HOSPITAL ( TROY )",3,5,2,3,1,2,1,2
"WINCHESTER HOSPITAL",4,5,1,2,3,2,1,3
"LEE'S SUMMIT MEDICAL CENTER",4,9,2,3,3,2,3,2
